doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4213,3573,7006,85,465,142,8.276062,20.44362
91,71,4186,3571,7003,87,343,94,7.313324,24.38141
91,71,3779,3568,7001,84,342,82,6.521057,26.8279
91,71,3726,3565,6998,81,355,101,6.013153,28.4975
91,71,3507,3562,6996,65,179,39,4.826874,27.66626
91,71,3095,3559,6993,24,0,7,3.972183,22.41626
91,71,2761,3557,6991,7,0,0,3.414246,14.45099
91,71,2701,3554,6988,18,0,3,3.46817,14.87791
91,71,2740,3551,6986,7,0,1,3.137802,16.00157
91,71,2668,3548,6984,9,0,1,3.104431,12.627
91,71,3010,3545,6981,35,115,22,2.17392,10.74823
91,71,2946,3542,6979,29,83,15,1.54715,8.143768
91,71,2776,3540,6976,31,0,29,0.7645264,13.7923
91,71,3311,3537,6974,50,146,65,-0.2413483,17.96985
91,71,3325,3534,6971,67,223,154,0.2387543,19.87169
91,71,3216,3531,6969,51,0,94,0.3621368,16.03741
91,71,2537,3528,6967,5,0,3,1.051208,15.09798
91,71,2712,3526,6964,8,0,7,1.697433,18.89218
91,71,3023,3523,6962,41,134,58,2.31636,20.93892
91,71,3288,3520,6959,69,214,148,2.870789,25.81116
91,71,3893,3517,6957,89,280,246,2.929581,29.31512
91,71,4769,3587,7022,90,385,147,6.19548,17.36736
91,71,4737,3585,7019,91,444,151,7.681717,16.6748
91,71,4561,3582,7017,91,419,102,8.653656,15.97772
91,71,4390,3579,7014,91,418,102,9.21106,15.66251
91,71,4432,3576,7012,88,440,113,9.257767,18.66205
91,71,3749,3573,7009,78,386,89,8.525116,22.07866
91,71,3813,3571,7007,73,296,56,7.557053,25.07445
91,71,3486,3568,7004,55,238,36,6.870087,26.45322
91,71,3701,3565,7002,68,242,62,6.205292,27.46951
91,71,3199,3562,6999,29,0,5,5.513626,26.883
91,71,2901,3559,6997,13,94,1,5.087219,24.26744
91,71,2875,3557,6994,18,103,5,4.024155,18.48134
91,71,3040,3554,6992,32,142,13,4.076736,15.88193
91,71,2988,3551,6989,34,129,19,4.122787,15.46138
91,71,2801,3548,6987,28,0,12,4.125488,14.38754
91,71,3444,3545,6985,56,194,59,3.786484,11.76399
91,71,3018,3542,6982,42,0,32,2.973129,10.37222
91,71,3418,3540,6980,46,106,35,2.1548,12.6619
91,71,3142,3537,6977,52,0,46,1.515274,16.33362
91,71,3844,3534,6975,78,266,178,1.023926,21.13914
91,71,3759,3531,6972,75,211,166,1.006134,20.5392
91,71,3027,3528,6970,34,102,42,1.431503,15.05254
91,71,2794,3526,6968,21,95,30,1.946869,17.46912
91,71,3516,3523,6965,71,223,168,2.678116,18.73178
91,71,3805,3520,6963,86,292,261,3.061569,20.85732
91,71,3748,3517,6960,91,370,312,2.870285,23.10437
91,71,4491,3585,7023,95,367,108,6.354919,17.9256
91,71,4646,3582,7020,93,410,116,7.979553,18.72476
91,71,4148,3579,7018,89,377,98,8.631073,17.64473
91,71,4308,3576,7015,87,432,121,9.255341,18.20349
91,71,4068,3573,7013,82,351,90,9.192505,20.34445
91,71,3393,3571,7010,57,256,37,7.997498,24.17436
91,71,3158,3568,7008,37,180,13,7.275146,26.4061
91,71,3164,3565,7005,35,152,16,6.593567,26.75822
91,71,2886,3562,7003,19,135,6,5.914398,27.11699
91,71,3018,3559,7000,33,206,21,5.676819,23.91095
91,71,3258,3557,6998,54,250,59,5.201111,20.82678
91,71,3360,3554,6995,49,187,50,5.156067,15.19884
91,71,3592,3551,6993,54,195,56,5.137741,15.5172
91,71,3452,3548,6990,63,174,69,5.222961,13.63159
91,71,3119,3545,6988,49,154,40,5.173767,13.22705
91,71,3701,3542,6986,65,195,82,4.93132,12.14949
91,71,3186,3540,6983,54,135,48,4.081223,10.64865
91,71,3740,3537,6981,64,144,63,3.347382,13.48021
91,71,3684,3534,6978,70,225,138,2.92598,17.30067
91,71,4373,3531,6976,88,228,155,2.661026,18.85391
91,71,3661,3528,6973,73,0,108,2.478424,17.29509
91,71,2792,3526,6971,20,0,13,2.7491,14.64212
91,71,3114,3523,6969,38,0,67,3.225037,15.49307
91,71,4141,3520,6966,77,251,229,3.658997,18.39427
91,71,4556,3585,7026,91,403,139,5.351746,18.12534
91,71,4216,3582,7024,93,476,149,6.641418,18.2003
91,71,4120,3579,7021,87,384,111,7.96582,18.78763
91,71,3697,3576,7019,86,435,108,8.520401,20.12041
91,71,3625,3573,7016,69,325,77,8.840744,20.45705
91,71,3327,3571,7014,49,301,54,8.656433,21.07425
91,71,3197,3568,7011,45,305,45,8.014053,24.69498
91,71,3188,3565,7009,53,332,63,7.217117,26.09344
91,71,3113,3562,7006,57,304,66,6.355957,25.82607
91,71,3177,3559,7004,55,257,60,6.210953,23.56525
91,71,3760,3557,7001,81,357,125,5.909805,19.74458
91,71,3693,3554,6999,73,316,89,5.72316,18.09402
91,71,3249,3551,6996,53,212,52,5.766052,16.20976
91,71,4072,3548,6994,73,239,85,6.395859,15.91316
91,71,3599,3545,6992,71,192,65,6.336975,12.59698
91,71,3823,3542,6989,67,214,89,6.531265,13.0797
91,71,4017,3540,6987,80,229,109,6.364212,11.72047
91,71,3670,3537,6984,67,188,78,5.673645,11.6833
91,71,3913,3534,6982,76,196,103,5.129227,13.83499
91,71,4268,3531,6979,83,261,157,4.789505,16.04022
91,71,3990,3528,6977,82,144,107,4.828903,15.37408
91,71,2998,3526,6974,27,0,10,4.443329,13.37653
91,71,2968,3523,6972,28,76,21,4.450958,12.53156
91,71,3185,3520,6970,60,184,125,4.533371,14.99446
91,71,4113,3517,6967,84,336,277,4.67804,18.63785
91,71,4364,3582,7027,92,473,143,5.724945,17.19395
91,71,4021,3579,7025,89,524,177,6.844391,18.03732
91,71,3993,3576,7022,89,548,183,7.567902,18.70042
91,71,3641,3573,7020,81,492,146,8.379089,19.41869
91,71,3645,3571,7017,79,516,164,8.586395,20.50549
91,71,3516,3568,7015,74,426,137,8.635925,20.69342
91,71,3838,3565,7012,86,445,164,8.331741,23.24881
91,71,3663,3562,7010,79,387,140,7.339874,24.27055
91,71,3452,3559,7007,62,280,102,6.870911,22.11832
91,71,3834,3557,7005,77,316,121,6.598831,21.30049
91,71,4066,3554,7002,86,305,98,6.520782,18.81071
91,71,4027,3551,7000,78,263,82,6.279114,17.87711
91,71,3594,3548,6997,70,254,77,6.845825,17.91176
91,71,4421,3545,6995,84,276,110,7.469818,15.46613
91,71,3771,3542,6993,70,204,72,7.957489,13.53659
91,71,4474,3540,6990,85,280,128,8.244812,13.52455
91,71,4198,3537,6988,83,215,94,8.12796,12.2742
91,71,4482,3534,6985,87,254,148,8.005875,12.40508
91,71,4261,3531,6983,88,250,143,7.23703,14.57249
91,71,4316,3528,6980,85,250,163,7.235748,15.459
91,71,3139,3526,6978,40,0,26,7.089691,12.59682
91,71,2871,3523,6976,24,75,22,6.557678,10.92574
91,71,3844,3520,6973,69,219,152,6.308578,11.90956
91,71,3747,3517,6971,83,378,283,5.737686,15.35344
91,71,4348,3576,7025,88,440,155,7.046082,17.05173
91,71,4297,3573,7023,89,436,167,7.278229,18.05206
91,71,3995,3571,7021,87,436,173,8.026993,18.3223
91,71,4163,3568,7018,80,354,133,8.860077,19.21112
91,71,4013,3565,7016,82,356,116,8.769196,19.15585
91,71,4344,3562,7013,90,344,111,8.603668,19.72406
91,71,4237,3559,7011,82,316,111,7.990173,20.85779
91,71,3521,3557,7008,66,246,83,7.460938,18.42867
91,71,4486,3554,7006,85,302,110,7.357162,18.61119
91,71,4220,3551,7003,87,371,141,7.261169,17.1322
91,71,4212,3548,7001,81,276,105,7.119125,17.02203
91,71,3937,3545,6998,78,283,108,8.006302,16.32419
91,71,4460,3542,6996,82,320,146,8.830597,15.06953
91,71,4139,3540,6994,86,319,147,9.186783,13.46669
91,71,4628,3537,6991,93,321,155,9.948837,12.14377
91,71,4286,3534,6989,91,309,168,10.0441,12.7789
91,71,4620,3531,6986,92,338,197,10.33885,13.67775
91,71,4516,3528,6984,90,299,182,9.107758,15.99078
91,71,3684,3526,6981,65,0,55,9.215607,14.35837
91,71,3246,3523,6979,34,0,29,9.033798,11.34415
91,71,3234,3520,6977,53,151,90,8.608063,10.75433
91,71,4317,3517,6974,86,296,240,7.685623,11.99474
91,71,4708,3573,7026,87,355,126,6.783997,15.76831
91,71,4483,3571,7024,87,351,128,7.187439,15.97707
91,71,4489,3568,7022,85,354,127,7.944794,16.62495
